
2025/02/26 (17:42:55) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2025/02/26 (17:42:55) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2025/02/26 (17:42:55) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2025/02/26 (17:42:55) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2025/02/26 (17:42:56) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2025/02/26 (17:42:56) | DEBUG: Loading theme file: /usr/share/btop/themes/adwaita.theme
2025/02/26 (17:42:56) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2025/02/26 (17:42:56) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2025/02/26 (17:42:57) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_light.theme
2025/02/26 (17:42:57) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2025/02/26 (17:42:57) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-medium.theme
2025/02/26 (17:45:06) | DEBUG: Writing new config file
2025/02/26 (17:45:06) | INFO: Quitting! Runtime: 00:02:48

2025/02/26 (17:45:20) | ===> btop++ v.1.4.0
2025/02/26 (17:45:20) | INFO: Logger set to DEBUG
2025/02/26 (17:45:20) | DEBUG: Using locale C.UTF-8
2025/02/26 (17:45:20) | INFO: Running on /dev/pts/2
2025/02/26 (17:45:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (17:45:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/26 (17:45:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/26 (17:45:20) | DEBUG: Shared::init() : Initialized.
2025/02/26 (17:45:43) | DEBUG: Writing new config file
2025/02/26 (17:45:43) | INFO: Quitting! Runtime: 00:00:23

2025/03/01 (18:18:26) | ===> btop++ v.1.4.0
2025/03/01 (18:18:26) | INFO: Logger set to DEBUG
2025/03/01 (18:18:26) | DEBUG: Using locale C.UTF-8
2025/03/01 (18:18:26) | INFO: Running on /dev/pts/5
2025/03/01 (18:18:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (18:18:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/01 (18:18:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (18:18:26) | DEBUG: Shared::init() : Initialized.
